Timestamp,Role,Trimester,COLLABORATIVE TEAM,Does CT have priority standards/ supporting standards?,Are assessments aligned with priority standards?,"Does CT have a curriculum map that outlines units/chapters, assessments, and standards?",Are proficiency scales used to measure student progress?,Does CT use common summative assessments?,Is the ASSESSMENT gradebook category identical across the course?,Does CT use common formative assessments?,Does CT use assessment data to adjust assessments?,Does CT provide extension activities for students who have mastered the material?,Does CT utilize MTSS/RTI framework to identify and support students who need additional academic support?,Are retake requirements common throughout the CT and do they comply with the district retake policy?,"Does CT have a common syllabus? Does it include common policies on plagiarism, reassessment, and grading?",Does CT share instructional strategies and collaborate on teaching methods?,Does CT regularly discuss point values and the number of assignments in the CLASSWORK gradebook category?,Does CT analyze student data to improve instruction?,Does CT use NASOT (National Assessment of Student Outcomes & Teaching) elements effectively?,Is there equity of voice in your CT?,"Do you feel your CT is a safe place to be honest, genuine, and vulnerable?",Are there formalized roles in your CT?,"Does your CT regularly have a set agenda that focuses on curriculum, assessment, instruction, or student achievement? Does each item include a clear intended outcome or product?",Do team members come prepared to complete the work for each agenda item?,Is your CT productive during meeting time?,Curriculum Comments:,Assessment Comments:,Achievement Comments ,Instruction Comments ,Group Efficacy Comments 
2026-09-02 09:00:00,Teacher,3,Algebra 1,2,2,2,3,2,2,2,2,1,2,2,3,3,3,2,2,2,2,2,1,2,2,Standards are clear and posted. The curriculum map is followed closely. We are still working on embedding proficiency scales into daily instruction and feedback.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Retake process is consistent and follows district policy. We identify students who need support but MTSS referrals are individual teacher decisions rather than coordinated team responses. Extension is minimal.,Common syllabus and shared strategies are strengths. We review data and adjust instruction. Classwork alignment is decent but we check in on it only quarterly.,Our team has strong trust and equity of voice. Meetings are focused and productive when we have a clear agenda. Formalized roles would help us run more efficiently.
2026-09-03 09:07:00,Teacher,3,Algebra 1,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,Standards are clear and posted. The curriculum map is followed closely. We are still working on embedding proficiency scales into daily instruction and feedback.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Retake process is consistent and follows district policy. We identify students who need support but MTSS referrals are individual teacher decisions rather than coordinated team responses. Extension is minimal.,Common syllabus and shared strategies are strengths. We review data and adjust instruction. Classwork alignment is decent but we check in on it only quarterly.,Our team has strong trust and equity of voice. Meetings are focused and productive when we have a clear agenda. Formalized roles would help us run more efficiently.
2026-09-04 09:14:00,Teacher,3,Algebra 1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,Standards are clear and posted. The curriculum map is followed closely. We are still working on embedding proficiency scales into daily instruction and feedback.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Retake process is consistent and follows district policy. We identify students who need support but MTSS referrals are individual teacher decisions rather than coordinated team responses. Extension is minimal.,Common syllabus and shared strategies are strengths. We review data and adjust instruction. Classwork alignment is decent but we check in on it only quarterly.,Our team has strong trust and equity of voice. Meetings are focused and productive when we have a clear agenda. Formalized roles would help us run more efficiently.
2026-09-05 09:21:00,Teacher,3,Algebra 1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,1,2,2,1,2,Standards are clear and posted. The curriculum map is followed closely. We are still working on embedding proficiency scales into daily instruction and feedback.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Retake process is consistent and follows district policy. We identify students who need support but MTSS referrals are individual teacher decisions rather than coordinated team responses. Extension is minimal.,Common syllabus and shared strategies are strengths. We review data and adjust instruction. Classwork alignment is decent but we check in on it only quarterly.,Our team has strong trust and equity of voice. Meetings are focused and productive when we have a clear agenda. Formalized roles would help us run more efficiently.
2026-09-09 10:00:00,Coach,3,Algebra 1,2,2,2,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2,1,1,2,2,This team has clear priority standards and a functional curriculum map. Proficiency scales are created but I observe inconsistent use during classroom walkthroughs.,Assessment practices are solid. The team uses data to adjust assessments and I have seen evidence of this in revised versions. Common formatives are emerging but not yet consistent.,Retakes are consistent. MTSS referrals happen but vary by teacher. I am supporting the team in building a shared protocol for identifying and responding to students in need.,Strong instructional culture. Strategies are shared consistently. Classwork totals are close — I have asked the team to do a full comparison this trimester. NASOT elements appear in lesson observations.,Good group dynamics. Meetings are focused. Equity of voice is present. The team operates well but relies on informal norms — formalizing roles would strengthen sustainability.
2026-09-09 11:00:00,Admin,3,Algebra 1,3,2,2,2,1,1,2,2,2,2,1,2,1,3,2,2,1,2,1,2,2,2,Standards and curriculum documentation are solid based on my observations. I would like to see proficiency scales used more explicitly in assessment design and student feedback.,Strong summative alignment. Data conversations happen in CT. The next growth edge is using formative data systematically to adjust instruction rather than waiting for end-of-unit results.,Retake requirements are consistent with district policy. I would like to see more team-level coordination on MTSS referrals and a clearer extension pathway for mastery students.,Solid instructional alignment. Common syllabus is in place. Strategy sharing is evident. NASOT elements are present but could be more explicitly connected to the CT's collaborative work.,Team meetings appear focused and productive based on my observations. Equity of voice looks strong. I would like to see more formalized role structures to ensure consistency over time.
2026-09-02 09:00:00,Teacher,3,Algebra 2,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,Priority standards are in place and referenced regularly. Curriculum map is solid. Some members use proficiency scales more than others — we've discussed making this more consistent.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Retakes are handled consistently. We surface struggling students in CT meetings. MTSS referrals happen but are not always coordinated. Extension activities are something we want to develop as a team.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Good team dynamics. Agendas are used and meetings stay on track. Equity of voice is strong. Formalizing roles is something we have discussed but not implemented.
2026-09-03 09:07:00,Teacher,3,Algebra 2,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Priority standards are in place and referenced regularly. Curriculum map is solid. Some members use proficiency scales more than others — we've discussed making this more consistent.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Retakes are handled consistently. We surface struggling students in CT meetings. MTSS referrals happen but are not always coordinated. Extension activities are something we want to develop as a team.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Good team dynamics. Agendas are used and meetings stay on track. Equity of voice is strong. Formalizing roles is something we have discussed but not implemented.
2026-09-04 09:14:00,Teacher,3,Algebra 2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,Priority standards are in place and referenced regularly. Curriculum map is solid. Some members use proficiency scales more than others — we've discussed making this more consistent.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Retakes are handled consistently. We surface struggling students in CT meetings. MTSS referrals happen but are not always coordinated. Extension activities are something we want to develop as a team.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Good team dynamics. Agendas are used and meetings stay on track. Equity of voice is strong. Formalizing roles is something we have discussed but not implemented.
2026-09-09 10:00:00,Coach,3,Algebra 2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,Curriculum documentation is a strength. Standards are visible in classrooms. My current focus with this team is moving proficiency scales from a planning document to an instructional tool.,Assessment practices are solid. The team uses data to adjust assessments and I have seen evidence of this in revised versions. Common formatives are emerging but not yet consistent.,Retakes are consistent. MTSS referrals happen but vary by teacher. I am supporting the team in building a shared protocol for identifying and responding to students in need.,The team collaborates well on instruction. Common syllabus is used. Strategy sharing happens during and between CT meetings. Data drives some instructional decisions.,This team has high psychological safety and good equity of voice. Meetings are productive. I am encouraging them to formalize roles to sustain their practices as membership changes over time.
