Timestamp,Role,Trimester,COLLABORATIVE TEAM,Does CT have priority standards/ supporting standards?,Are assessments aligned with priority standards?,"Does CT have a curriculum map that outlines units/chapters, assessments, and standards?",Are proficiency scales used to measure student progress?,Does CT use common summative assessments?,Is the ASSESSMENT gradebook category identical across the course?,Does CT use common formative assessments?,Does CT use assessment data to adjust assessments?,Does CT provide extension activities for students who have mastered the material?,Does CT utilize MTSS/RTI framework to identify and support students who need additional academic support?,Are retake requirements common throughout the CT and do they comply with the district retake policy?,"Does CT have a common syllabus? Does it include common policies on plagiarism, reassessment, and grading?",Does CT share instructional strategies and collaborate on teaching methods?,Does CT regularly discuss point values and the number of assignments in the CLASSWORK gradebook category?,Does CT analyze student data to improve instruction?,Does CT use NASOT (National Assessment of Student Outcomes & Teaching) elements effectively?,Is there equity of voice in your CT?,"Do you feel your CT is a safe place to be honest, genuine, and vulnerable?",Are there formalized roles in your CT?,"Does your CT regularly have a set agenda that focuses on curriculum, assessment, instruction, or student achievement? Does each item include a clear intended outcome or product?",Do team members come prepared to complete the work for each agenda item?,Is your CT productive during meeting time?,Curriculum Comments:,Assessment Comments:,Achievement Comments ,Instruction Comments ,Group Efficacy Comments 
2027-09-02 09:00:00,Teacher,3,Algebra 1,2,3,3,2,2,2,3,3,2,2,2,2,2,3,2,3,3,2,2,3,2,2,We have continued to refine our priority standards and the curriculum map is fully updated. Proficiency scales are now being used more consistently across all sections.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,The team is more proactive about identifying and responding to struggling students. Retakes are consistent. Extension activities are more structured than they were last year.,Common syllabus is in place and followed. Strategy sharing is a regular part of CT. We are more intentional about using data to change instruction than we were last year.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-03 09:07:00,Teacher,3,Algebra 1,2,3,3,3,2,2,3,3,2,3,3,3,2,3,2,3,2,2,3,3,3,2,We have continued to refine our priority standards and the curriculum map is fully updated. Proficiency scales are now being used more consistently across all sections.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,The team is more proactive about identifying and responding to struggling students. Retakes are consistent. Extension activities are more structured than they were last year.,Common syllabus is in place and followed. Strategy sharing is a regular part of CT. We are more intentional about using data to change instruction than we were last year.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-04 09:14:00,Teacher,3,Algebra 1,2,3,3,2,2,2,3,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,We have continued to refine our priority standards and the curriculum map is fully updated. Proficiency scales are now being used more consistently across all sections.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,The team is more proactive about identifying and responding to struggling students. Retakes are consistent. Extension activities are more structured than they were last year.,Common syllabus is in place and followed. Strategy sharing is a regular part of CT. We are more intentional about using data to change instruction than we were last year.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-05 09:21:00,Teacher,3,Algebra 1,3,3,2,3,2,2,2,3,2,2,2,3,3,3,3,3,2,2,2,2,3,2,We have continued to refine our priority standards and the curriculum map is fully updated. Proficiency scales are now being used more consistently across all sections.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,The team is more proactive about identifying and responding to struggling students. Retakes are consistent. Extension activities are more structured than they were last year.,Common syllabus is in place and followed. Strategy sharing is a regular part of CT. We are more intentional about using data to change instruction than we were last year.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-09 10:00:00,Coach,3,Algebra 1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,Curriculum work is a clear strength. Standards are visible and the map is used actively. Proficiency scales are being embedded into instruction more consistently.,Strong assessment foundation. The team uses both common summatives and formatives now. Data analysis is driving real instructional changes — I can point to specific examples.,The team has made real progress on MTSS coordination. Retakes remain strong. Extension is still developing but the team has named it as a priority and is making progress.,Instructional alignment is strong and getting stronger. NASOT elements are now being explicitly discussed and applied. Classwork alignment has been verified this trimester.,Strong team dynamics. Formalized roles are in place and working well. Meetings are productive and focused. This team is a model for others in the building.
2027-09-09 11:00:00,Admin,3,Algebra 1,3,2,3,3,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,Strong curriculum documentation. I can see the map being followed in classrooms. Proficiency scale language is showing up in student feedback which is a positive shift.,Assessment practices are strong. Common assessments are in use and data is clearly informing instruction. Formative practices are more consistent than I observed last year.,Good improvement in student support practices. Retakes are consistent. MTSS coordination is more systematic than last year. Extension is developing.,Solid instructional alignment. Common syllabus is in place. Strategy sharing is evident. NASOT elements are more explicitly connected to CT work than before.,Strong team cohesion. Formalized roles are in place and working. Meetings are focused and productive. Equity of voice is strong across all team members.
2027-09-02 09:00:00,Teacher,3,Algebra 2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,We have continued to refine our priority standards and the curriculum map is fully updated. Proficiency scales are now being used more consistently across all sections.,Assessment work is strong. Both summatives and formatives are shared across the team. We use data to revise assessments and adjust instruction more systematically than before.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Good instructional alignment. Common syllabus is used. We share strategies and data regularly. Classwork point values are well aligned across the team.,Team culture is strong. Formalized roles are helping meetings run more efficiently. Equity of voice and psychological safety continue to be strengths.
2027-09-03 09:07:00,Teacher,3,Algebra 2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,We have continued to refine our priority standards and the curriculum map is fully updated. Proficiency scales are now being used more consistently across all sections.,Assessment work is strong. Both summatives and formatives are shared across the team. We use data to revise assessments and adjust instruction more systematically than before.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Good instructional alignment. Common syllabus is used. We share strategies and data regularly. Classwork point values are well aligned across the team.,Team culture is strong. Formalized roles are helping meetings run more efficiently. Equity of voice and psychological safety continue to be strengths.
2027-09-04 09:14:00,Teacher,3,Algebra 2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,We have continued to refine our priority standards and the curriculum map is fully updated. Proficiency scales are now being used more consistently across all sections.,Assessment work is strong. Both summatives and formatives are shared across the team. We use data to revise assessments and adjust instruction more systematically than before.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Good instructional alignment. Common syllabus is used. We share strategies and data regularly. Classwork point values are well aligned across the team.,Team culture is strong. Formalized roles are helping meetings run more efficiently. Equity of voice and psychological safety continue to be strengths.
2027-09-09 10:00:00,Coach,3,Algebra 2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,This team has strong curriculum documentation. Proficiency scales are now visible in most classrooms and being used in feedback — a significant improvement over last year.,Good assessment alignment. The team has built on last year's summative work and added common formatives. Data conversations are more purposeful and action-oriented.,Solid retake practices continue. The team now has a shared protocol for MTSS referrals and meets it consistently. Extension is the remaining growth area.,The team collaborates well on instruction. Strategy sharing is consistent. Data is driving specific instructional changes. NASOT use is more explicit than last year.,Strong team dynamics. Formalized roles are in place and working well. Meetings are productive and focused. This team is a model for others in the building.
2027-09-09 11:00:00,Admin,3,Algebra 2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,Strong curriculum documentation. I can see the map being followed in classrooms. Proficiency scale language is showing up in student feedback which is a positive shift.,Good assessment alignment. Both summative and formative data are being used. I see evidence that teachers are adjusting instruction based on common assessment results.,Retake compliance is strong. I see more evidence of coordinated MTSS responses this year. Extension pathways for mastery students are beginning to emerge.,Solid instructional alignment. Common syllabus is in place. Strategy sharing is evident. NASOT elements are more explicitly connected to CT work than before.,Excellent group culture. Formalized roles and structured agendas have strengthened meeting productivity. This team demonstrates what high-functioning collaboration looks like.
2027-09-02 09:00:00,Teacher,3,American Studies,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Standards alignment is strong this year. Our curriculum map reflects all unit changes. We have made real progress on embedding proficiency scales into instruction and feedback.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,Our retake process is consistent and compliant. We now have a more coordinated MTSS approach and are developing more systematic extension activities for mastery students.,Instructional alignment is strong. We share strategies regularly and our classwork totals are well aligned. We use student data to make specific instructional adjustments.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-03 09:07:00,Teacher,3,American Studies,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Standards alignment is strong this year. Our curriculum map reflects all unit changes. We have made real progress on embedding proficiency scales into instruction and feedback.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,Our retake process is consistent and compliant. We now have a more coordinated MTSS approach and are developing more systematic extension activities for mastery students.,Instructional alignment is strong. We share strategies regularly and our classwork totals are well aligned. We use student data to make specific instructional adjustments.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-04 09:14:00,Teacher,3,American Studies,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,Standards alignment is strong this year. Our curriculum map reflects all unit changes. We have made real progress on embedding proficiency scales into instruction and feedback.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,Our retake process is consistent and compliant. We now have a more coordinated MTSS approach and are developing more systematic extension activities for mastery students.,Instructional alignment is strong. We share strategies regularly and our classwork totals are well aligned. We use student data to make specific instructional adjustments.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
